source_id,title,organization,topic,document_type,geographic_scope,publication_date,url,license,authority_level,last_verified,verification_status,notes
SRC001,Stem borer — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,Rice stem borer,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_SB.html,,Agricultural university extension source,2026-09-19,VERIFIED,"Source documents symptoms, identification and management information for rice stem borer."
SRC002,Brown plant hopper — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,Brown planthopper,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_BPH.html,,Agricultural university extension source,2026-09-19,VERIFIED,"Source documents symptoms, damage, identification and management information for brown planthopper."
SRC003,White backed planthopper — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,White-backed planthopper,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_WBPH.html,,Agricultural university extension source,2026-09-19,VERIFIED,"Source documents symptoms, biology and damage caused by white-backed planthopper."
SRC004,Leaf folder — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,Rice leaf folder,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_lf.html,,Agricultural university extension source,2026-09-19,VERIFIED,"Source documents symptoms, identification and management information for rice leaf folder."
SRC005,Gall midge — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,Rice gall midge,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_gallmidge.html,,Agricultural university extension source,2026-09-19,VERIFIED,"Source documents symptoms, identification and management information for rice gall midge."
SRC006,Rice hispa — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,Rice hispa,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_ricehispa.html,,Agricultural university extension source,2026-09-19,VERIFIED,"Source documents symptoms, biology and damage caused by rice hispa."
SRC007,Rice case worm — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,Rice caseworm,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_caseworm.html,,Agricultural university extension source,2026-09-19,VERIFIED,"Source documents symptoms, identification and management information for rice caseworm."
SRC008,Rice earhead bug — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,Rice bug / earhead bug,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_earheadbug.html,,Agricultural university extension source,2026-09-19,VERIFIED,Source identifies rice earhead bug as Leptocorisa acuta and documents grain-feeding damage.
SRC009,Thrips — Crop Protection,Tamil Nadu Agricultural University (TNAU) Agritech Portal,Rice thrips,Agricultural extension page,India / rice production,,https://agritech.tnau.ac.in/expert_system/paddy/cppests_Thrips.html,,Agricultural university extension source,2026-09-19,VERIFIED,Source documents symptoms and damage caused by rice thrips.
SRC010,ICAR-IIRR Annual Progress Report — Entomology,ICAR-Indian Institute of Rice Research,Rice insect pest surveillance,Research / annual progress report,India,2019,https://www.icar-iirr.org/AICRIP/Progress%20Report%20Volume%202%202019%20Entomology%20Pathology.pdf,,National agricultural research institute,2026-09-19,VERIFIED,ICAR-IIRR report describes national and regional rice pest occurrence and surveillance.
