chunk_id,document_id,source_id,pest_id,topic,text,citation,source_url,geographic_scope,last_verified,verification_status
FACT001_CHUNK001,FACT001,SRC001,P001,Identification,"Pest: P001
Topic: Identification
Fact: The rice stem borer documented by TNAU is Scirpophaga incertulas.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Stem borer.",TNAU Crop Protection — Stem borer.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_SB.html,India / rice production,2026-09-19,VERIFIED
FACT002_CHUNK001,FACT002,SRC001,P001,Damage symptoms,"Pest: P001
Topic: Damage symptoms
Fact: Stem borer larvae can enter the rice stem and cause drying of the central shoot, known as dead heart; at the ear-bearing stage affected panicles may appear as white ears with chaffy grains.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Stem borer.",TNAU Crop Protection — Stem borer.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_SB.html,India / rice production,2026-09-19,VERIFIED
FACT003_CHUNK001,FACT003,SRC002,P002,Identification,"Pest: P002
Topic: Identification
Fact: The brown planthopper is identified as Nilaparvata lugens.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Brown plant hopper.",TNAU Crop Protection — Brown plant hopper.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_BPH.html,India / rice production,2026-09-19,VERIFIED
FACT004_CHUNK001,FACT004,SRC002,P002,Damage symptoms,"Pest: P002
Topic: Damage symptoms
Fact: Brown planthopper nymphs and adults feed on plant sap near the base of rice plants; infestation can produce yellowing, browning and drying known as hopper burn.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Brown plant hopper.",TNAU Crop Protection — Brown plant hopper.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_BPH.html,India / rice production,2026-09-19,VERIFIED
FACT005_CHUNK001,FACT005,SRC003,P003,Identification,"Pest: P003
Topic: Identification
Fact: The white-backed planthopper is identified as Sogatella furcifera.
Geographic scope: India / rice production
Source: TNAU Crop Protection — White backed plant hopper.",TNAU Crop Protection — White backed plant hopper.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_WBPH.html,India / rice production,2026-09-19,VERIFIED
FACT006_CHUNK001,FACT006,SRC003,P003,Damage symptoms,"Pest: P003
Topic: Damage symptoms
Fact: White-backed planthopper nymphs and adults suck phloem sap and can cause reduced vigour, stunting, yellowing and hopper-burn symptoms in rice.
Geographic scope: India / rice production
Source: TNAU Crop Protection — White backed plant hopper.",TNAU Crop Protection — White backed plant hopper.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_WBPH.html,India / rice production,2026-09-19,VERIFIED
FACT007_CHUNK001,FACT007,SRC004,P004,Identification,"Pest: P004
Topic: Identification
Fact: The rice leaf folder documented by TNAU is Cnaphalocrocis medinalis.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Leaf folder.",TNAU Crop Protection — Leaf folder.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_lf.html,India / rice production,2026-09-19,VERIFIED
FACT008_CHUNK001,FACT008,SRC004,P004,Damage symptoms,"Pest: P004
Topic: Damage symptoms
Fact: Rice leaf-folder larvae fold or roll rice leaves and scrape the green tissues; severe infestation can give fields a whitish scorched appearance.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Leaf folder.",TNAU Crop Protection — Leaf folder.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_lf.html,India / rice production,2026-09-19,VERIFIED
FACT009_CHUNK001,FACT009,SRC005,P005,Identification,"Pest: P005
Topic: Identification
Fact: The rice gall midge is identified as Orseolia oryzae.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Gall midge.",TNAU Crop Protection — Gall midge.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_gallmidge.html,India / rice production,2026-09-19,VERIFIED
FACT010_CHUNK001,FACT010,SRC005,P005,Damage symptoms,"Pest: P005
Topic: Damage symptoms
Fact: Gall midge infestation can produce a characteristic silver shoot or onion-leaf symptom and a tubular gall at the base of an affected rice tiller.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Gall midge.",TNAU Crop Protection — Gall midge.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_gallmidge.html,India / rice production,2026-09-19,VERIFIED
FACT011_CHUNK001,FACT011,SRC006,P006,Identification,"Pest: P006
Topic: Identification
Fact: Rice hispa is identified as Dicladispa armigera.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Rice Hispa.",TNAU Crop Protection — Rice Hispa.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_ricehispa.html,India / rice production,2026-09-19,VERIFIED
FACT012_CHUNK001,FACT012,SRC006,P006,Damage symptoms,"Pest: P006
Topic: Damage symptoms
Fact: Rice hispa adults scrape the green tissue of rice leaves while grubs mine within the leaf tissue, producing white streaks or translucent patches.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Rice Hispa.",TNAU Crop Protection — Rice Hispa.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_ricehispa.html,India / rice production,2026-09-19,VERIFIED
FACT013_CHUNK001,FACT013,SRC008,P007,Identification,"Pest: P007
Topic: Identification
Fact: The rice earhead bug documented by TNAU is Leptocorisa acuta.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Ear head bug.",TNAU Crop Protection — Ear head bug.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_earheadbug.html,India / rice production,2026-09-19,VERIFIED
FACT014_CHUNK001,FACT014,SRC008,P007,Damage symptoms,"Pest: P007
Topic: Damage symptoms
Fact: Rice earhead bugs feed on developing rice grains during the milky stage; feeding can produce discoloured patches and chaffy grains.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Ear head bug.",TNAU Crop Protection — Ear head bug.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_earheadbug.html,India / rice production,2026-09-19,VERIFIED
FACT015_CHUNK001,FACT015,SRC007,P008,Identification,"Pest: P008
Topic: Identification
Fact: Rice caseworm is identified as Nymphula depunctalis.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Rice case worm.",TNAU Crop Protection — Rice case worm.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_caseworm.html,India / rice production,2026-09-19,VERIFIED
FACT016_CHUNK001,FACT016,SRC007,P008,Damage symptoms,"Pest: P008
Topic: Damage symptoms
Fact: Rice caseworm larvae feed on green leaf tissue and make tubular cases from cut leaf portions; these cases may float on the water surface around rice tillers.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Rice case worm.",TNAU Crop Protection — Rice case worm.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_caseworm.html,India / rice production,2026-09-19,VERIFIED
FACT017_CHUNK001,FACT017,SRC009,P009,Damage symptoms,"Pest: P009
Topic: Damage symptoms
Fact: Rice thrips damage tender leaves by lacerating leaf tissue and sucking plant sap, producing yellowish or silvery streaks on young rice seedlings.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Thrips.",TNAU Crop Protection — Thrips.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_Thrips.html,India / rice production,2026-09-19,VERIFIED
FACT018_CHUNK001,FACT018,SRC009,P009,Crop stage / severity,"Pest: P009
Topic: Crop stage / severity
Fact: Rice thrips can affect both nursery and main-field rice, with damage described as more severe under water-stress conditions.
Geographic scope: India / rice production
Source: TNAU Crop Protection — Thrips.",TNAU Crop Protection — Thrips.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_Thrips.html,India / rice production,2026-09-19,VERIFIED
