fact_id,pest_id,topic,fact,source_id,citation_text,url,evidence_notes,geographic_scope,last_verified,verification_status
FACT001,P001,Identification,The rice stem borer documented by TNAU is Scirpophaga incertulas.,SRC001,TNAU Crop Protection — Stem borer.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_SB.html,TNAU identifies the scientific name as Scirpophaga incertulas.,India / rice production,2026-09-19,VERIFIED
FACT002,P001,Damage symptoms,"Stem borer larvae can enter the rice stem and cause drying of the central shoot, known as dead heart; at the ear-bearing stage affected panicles may appear as white ears with chaffy grains.",SRC001,TNAU Crop Protection — Stem borer.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_SB.html,Symptoms are described by TNAU for vegetative and ear-bearing stages.,India / rice production,2026-09-19,VERIFIED
FACT003,P002,Identification,The brown planthopper is identified as Nilaparvata lugens.,SRC002,TNAU Crop Protection — Brown plant hopper.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_BPH.html,"TNAU provides the scientific identification and descriptions of egg, nymph and adult stages.",India / rice production,2026-09-19,VERIFIED
FACT004,P002,Damage symptoms,"Brown planthopper nymphs and adults feed on plant sap near the base of rice plants; infestation can produce yellowing, browning and drying known as hopper burn.",SRC002,TNAU Crop Protection — Brown plant hopper.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_BPH.html,TNAU describes sap feeding and hopper-burn symptoms.,India / rice production,2026-09-19,VERIFIED
FACT005,P003,Identification,The white-backed planthopper is identified as Sogatella furcifera.,SRC003,TNAU Crop Protection — White backed plant hopper.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_WBPH.html,TNAU identifies the species and describes its developmental stages.,India / rice production,2026-09-19,VERIFIED
FACT006,P003,Damage symptoms,"White-backed planthopper nymphs and adults suck phloem sap and can cause reduced vigour, stunting, yellowing and hopper-burn symptoms in rice.",SRC003,TNAU Crop Protection — White backed plant hopper.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_WBPH.html,TNAU describes feeding damage and hopper-burn symptoms.,India / rice production,2026-09-19,VERIFIED
FACT007,P004,Identification,The rice leaf folder documented by TNAU is Cnaphalocrocis medinalis.,SRC004,TNAU Crop Protection — Leaf folder.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_lf.html,TNAU provides the scientific name and life-stage descriptions.,India / rice production,2026-09-19,VERIFIED
FACT008,P004,Damage symptoms,Rice leaf-folder larvae fold or roll rice leaves and scrape the green tissues; severe infestation can give fields a whitish scorched appearance.,SRC004,TNAU Crop Protection — Leaf folder.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_lf.html,"The source describes folded leaves, larval feeding and severe-field symptoms.",India / rice production,2026-09-19,VERIFIED
FACT009,P005,Identification,The rice gall midge is identified as Orseolia oryzae.,SRC005,TNAU Crop Protection — Gall midge.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_gallmidge.html,TNAU identifies the scientific name and describes the insect stages.,India / rice production,2026-09-19,VERIFIED
FACT010,P005,Damage symptoms,Gall midge infestation can produce a characteristic silver shoot or onion-leaf symptom and a tubular gall at the base of an affected rice tiller.,SRC005,TNAU Crop Protection — Gall midge.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_gallmidge.html,TNAU identifies silver shoot/onion leaf and tubular gall as prominent symptoms.,India / rice production,2026-09-19,VERIFIED
FACT011,P006,Identification,Rice hispa is identified as Dicladispa armigera.,SRC006,TNAU Crop Protection — Rice Hispa.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_ricehispa.html,"TNAU provides the scientific name and descriptions of egg, grub and adult.",India / rice production,2026-09-19,VERIFIED
FACT012,P006,Damage symptoms,"Rice hispa adults scrape the green tissue of rice leaves while grubs mine within the leaf tissue, producing white streaks or translucent patches.",SRC006,TNAU Crop Protection — Rice Hispa.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_ricehispa.html,TNAU describes adult scraping and larval mining damage.,India / rice production,2026-09-19,VERIFIED
FACT013,P007,Identification,The rice earhead bug documented by TNAU is Leptocorisa acuta.,SRC008,TNAU Crop Protection — Ear head bug.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_earheadbug.html,TNAU identifies the pest as Leptocorisa acuta.,India / rice production,2026-09-19,VERIFIED
FACT014,P007,Damage symptoms,Rice earhead bugs feed on developing rice grains during the milky stage; feeding can produce discoloured patches and chaffy grains.,SRC008,TNAU Crop Protection — Ear head bug.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_earheadbug.html,TNAU describes feeding on individual grains and resulting grain symptoms.,India / rice production,2026-09-19,VERIFIED
FACT015,P008,Identification,Rice caseworm is identified as Nymphula depunctalis.,SRC007,TNAU Crop Protection — Rice case worm.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_caseworm.html,TNAU provides the scientific name and descriptions of the insect stages.,India / rice production,2026-09-19,VERIFIED
FACT016,P008,Damage symptoms,Rice caseworm larvae feed on green leaf tissue and make tubular cases from cut leaf portions; these cases may float on the water surface around rice tillers.,SRC007,TNAU Crop Protection — Rice case worm.,https://agritech.tnau.ac.in/expert_system/paddy/cppests_caseworm.html,"TNAU describes feeding, case formation and the semi-aquatic nature of the pest.",India / rice production,2026-09-19,VERIFIED
